episode_overall,episode_in_season,Title,Directed by,Written by,air_date,prod_code,viewers_millions
1,1,"""Pilot""",Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,"March 24, 2005",1001,11.23[17]
2,2,"""Diversity Day""",Ken Kwapis,B. J. Novak,"March 29, 2005",1002,5.95[18]
3,3,"""Health Care""",Ken Whittingham,Paul Lieberstein,"April 5, 2005",1006,5.83[19]
4,4,"""The Alliance""",Bryan Gordon,Michael Schur,"April 12, 2005",1004,5.26[20]
5,5,"""Basketball""",Greg Daniels,Greg Daniels,"April 19, 2005",1005,5.03[21]
6,6,"""Hot Girl""",Amy Heckerling,Mindy Kaling,"April 26, 2005",1003,4.83[22]
7,1,"""The Dundies""",Greg Daniels,Mindy Kaling,"September 20, 2005",2003,9.00[29]
8,2,"""Sexual Harassment""",Ken Kwapis,B. J. Novak,"September 27, 2005",2002,7.13[30]
9,3,"""Office Olympics""",Paul Feig,Michael Schur,"October 4, 2005",2004,8.27[31]
10,4,"""The Fire""",Ken Kwapis,B. J. Novak,"October 11, 2005",2001,7.62[32]
11,5,"""Halloween""",Paul Feig,Greg Daniels,"October 18, 2005",2006,8.02[33]
12,6,"""The Fight""",Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,"November 1, 2005",2007,7.93[34]
13,7,"""The Client""",Greg Daniels,Paul Lieberstein,"November 8, 2005",2005,7.46[35]
14,8,"""Performance Review""",Paul Feig,Larry Wilmore,"November 15, 2005",2009,7.99[36]
15,9,"""Email Surveillance""",Paul Feig,Jennifer Celotta,"November 22, 2005",2008,8.09[37]
16,10,"""Christmas Party""",Charles McDougall,Michael Schur,"December 6, 2005",2010,9.74[29]
17,11,"""Booze Cruise""",Ken Kwapis,Greg Daniels,"January 5, 2006",2013,8.73[38]
18,12,"""The Injury""",Bryan Gordon,Mindy Kaling,"January 12, 2006",2011,10.27[39]
19,13,"""The Secret""",Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,"January 19, 2006",2014,8.70[40]
20,14,"""The Carpet""","Victor Nelli, Jr.",Paul Lieberstein,"January 26, 2006",2012,8.60[41]
21,15,"""Boys and Girls""",Dennie Gordon,B. J. Novak,"February 2, 2006",2015,9.21[42]
22,16,"""Valentine's Day""",Greg Daniels,Michael Schur,"February 9, 2006",2016,8.95[43]
23,17,"""Dwight's Speech""",Charles McDougall,Paul Lieberstein,"March 2, 2006",2017,8.45[44]
24,18,"""Take Your Daughter to Work Day""","Victor Nelli, Jr.",Mindy Kaling,"March 16, 2006",2018,8.85[45]
25,19,"""Michael's Birthday""",Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,"March 30, 2006",2019,7.85[46]
26,20,"""Drug Testing""",Greg Daniels,Jennifer Celotta,"April 27, 2006",2022,7.85[47]
27,21,"""Conflict Resolution""",Charles McDougall,Greg Daniels,"May 4, 2006",2020,7.45[48]
28,22,"""Casino Night""†",Ken Kwapis,Steve Carell,"May 11, 2006",2021,7.66[49]
29,1,"""Gay Witch Hunt""",Ken Kwapis,Greg Daniels,"September 21, 2006",3001,9.11[55]
30,2,"""The Convention""",Ken Whittingham,Lee Eisenberg & Gene Stupnitsky,"September 28, 2006",3006,7.78[56]
31,3,"""The Coup""",Greg Daniels,Paul Lieberstein,"October 5, 2006",3002,8.89[57]
32,4,"""Grief Counseling""",Roger Nygard,Jennifer Celotta,"October 12, 2006",3003,8.83[58]
33,5,"""Initiation""",Randall Einhorn,B. J. Novak,"October 19, 2006",3005,8.46[59]
34,6,"""Diwali""",Miguel Arteta,Mindy Kaling,"November 2, 2006",3004,8.81[60]
35,7,"""Branch Closing""†",Tucker Gates,Michael Schur,"November 9, 2006",3007,8.05[61]
36,8,"""The Merger""†",Ken Whittingham,Brent Forrester,"November 16, 2006",3008,8.43[62]
37,9,"""The Convict""",Jeffrey Blitz,Ricky Gervais & Stephen Merchant,"November 30, 2006",3010,9.07[63]
38,10,"""A Benihana Christmas""‡",Harold Ramis,Jennifer Celotta,"December 14, 2006",3009,8.44[64]
39,11,,,,,3014,
,,,,,,,
40,12,"""Back from Vacation""",Julian Farino,Justin Spitzer,"January 4, 2007",3011,8.80[65]
41,13,"""Traveling Salesmen""",Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,"January 11, 2007",3012,10.15[66]
42,14,"""The Return""†",Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,"January 18, 2007",3013,9.32[67]
43,15,"""Ben Franklin""",Randall Einhorn,Mindy Kaling,"February 1, 2007",3015,10.01[68]
44,16,"""Phyllis' Wedding""",Ken Whittingham,Caroline Williams,"February 8, 2007",3016,8.84[69]
45,17,"""Business School""",Joss Whedon,Brent Forrester,"February 15, 2007",3017,8.84[70]
46,18,"""Cocktails""",J. J. Abrams,Paul Lieberstein,"February 22, 2007",3018,8.25[71]
47,19,"""The Negotiation""†",Jeffrey Blitz,Michael Schur,"April 5, 2007",3019,6.74[72]
48,20,"""Safety Training""",Harold Ramis,B. J. Novak,"April 12, 2007",3020,7.71[73]
49,21,"""Product Recall""",Randall Einhorn,Justin Spitzer & Brent Forrester,"April 26, 2007",3025,7.56[74]
50,22,"""Women's Appreciation""†",Tucker Gates,Gene Stupnitsky & Lee Eisenberg,"May 3, 2007",3021,6.99[75]
51,23,"""Beach Games""†",Harold Ramis,Jennifer Celotta & Greg Daniels,"May 10, 2007",3022,7.17[76]
52,24,"""The Job""‡",Ken Kwapis,Paul Lieberstein & Michael Schur,"May 17, 2007",3023,7.88[72]
53,25,,,,,3024,
54,1,"""Fun Run""‡",Greg Daniels,Greg Daniels,"September 27, 2007",4001,9.65[80]
55,2,,,,,4002,
,,,,,,,
56,3,"""Dunder Mifflin Infinity""‡",Craig Zisk,Michael Schur,"October 4, 2007",4003,8.57[81]
57,4,,,,,4004,
,,,,,,,
58,5,"""Launch Party""‡",Ken Whittingham,Jennifer Celotta,"October 11, 2007",4005,8.87[82]
59,6,,,,,4006,
,,,,,,,
60,7,"""Money""‡",Paul Lieberstein,Paul Lieberstein,"October 18, 2007",4007,8.61[83]
61,8,,,,,4008,
,,,,,,,
